sentence,add1,addk,tokentype
"अगर स्टेशनों का हिसाब देखा जाए तो जो यात्री सराय से अपना सफर शुरू करेंगे , वे बदरपुर , तुगलकाबाद , मोहन स्टेट , सरिता विहार , जसोला अपोलो , ओखला , गोविंदपुरी होते हुए कालकाजी मेट्रो स्टेशन तक पहुंचेंगे। यहां से मेट्रो बदलकर यात्री ओखला एनएसआईसी , सुखदेव विहार , जामिया मिलिया इस्लामिया , जसोला विहार , शाहीन बाग , कालिंदीकुंज , ओखला बर्ड सैंक्चुरी होते हुए बॉटैनिकल गार्डन मेट्रो स्टेशन पहुंच सकेंगे।",7.671976916123784e-274,3.818245598411425e-260,2.4418594852483826e-290
"बाइकों में फर्जी नंबर प्लेट लगा करते थे लूटपाट , सरगना समेत तीन गिरफ्तार",1.410568363552166e-55,6.895084917006942e-53,1.3564040663689648e-59
"ROORKEE ( JNN ) : तहसील प्रशासन ने बारिश और ओलावृष्टि से प्रभावित किसानों के चेक काटने बंद कर दिए हैं। वजह यह है कि 20 लाख के बजट में से 16 लाख के चेक काटे जा चुके हैं , जबकि और चेक काटने के लिए पर्याप्त बजट ही नहीं हैं।",4.9670870959696455e-176,2.7552590188404003e-165,1.6212602263183563e-204
भारतीय मूल की अमेरिकी वकील रीना पटेल को उत्तरी मरियाना द्वीप में अटार्नी जनरल के कार्यालय में सिविल डिविजन का प्रमुख नामित किया गया है।,1.0642796256426698e-91,5.98937253337573e-87,2.1416890691895085e-101
प्रधानमंत्री रोजगार सृजन कार्यक्रम के अंतर्गत बैंकों को निर्देश दिए कि वह लक्ष्य के सापेक्ष आवेदन पत्र स्वीकृत कर वितरित करें। मुख्यमंत्री युवा स्वरोजगार योजना पर कहा कि यह सरकार की महत्वाकांक्षी योजना है स्वीकृति के सापेक्ष वितरण तत्काल कराया जाए। एक जनपद एक उत्पाद सहायता योजना की समीक्षा की। जिसकी प्रगति ठीक न होने पर संबंधित अधिकारियों को फटकार लगाई। उन्होंने वाणिज्यकर अधिकारी को निर्देश दिये कि योजनाओं का लाभ व्यापारियों को दिलाए। दुर्घटना बीमा समेत कोविड 19 को देखते हुए व्यापार मंडल का सहयोग लेकर शिविर लगाए। व्यापार मंडल जिलाध्यक्ष ओम केसरवानी ने बताया कि आरसी बैंक में जमा करने के बाद वाणिज्यकर विभाग में नहीं खत्म किया जाता। उन्होंने व्यापारकर अधिकारी के खिलाफ कार्रवाई करने की बात कही है।,0.0,0.0,0.0
जानकारी के अनुसार कल्यानपुर थाना क्षेत्र के मौहार गांव निवासी दीपक सिंह पुत्र अनूप सिंह 24 व राजेश सिंह का 19 वर्षीय पुत्र अमन सिंह बुधवार की शाम मोटरसाइकिल से मलवां किसी काम से आ रहे थे। जैसे ही वह हाईवे पर पहुंचे तभी पीछे से आ रहे अज्ञात वाहन ने बाइक में टक्कर मार दिया। जिससे दोनों घायल हो गये। इसी प्रकार बांदा जनपद के थाना कमासिन गांव बिलासा निवासी बाबूलाल का 30 वर्षीय पुत्र कुंदन बाइक द्वारा फतेहपुर जनपद अपनी रिश्तेदारी में आया था। वापस लौटते समय जैसे ही वह बिसौली चौराहा भिटौरा रोड पहुंचा तभी वाहन ने उसे टक्कर मार दिया। जिससे वह गम्भीर रूप से घायल हो गया। सूचना पाकर मौके पर पहुंची सरकारी एम्बुलेन्स ने सभी घायलों को आनन फानन उपचार के लिए जिला चिकित्सालय में भर्ती कराया।,0.0,0.0,0.0
शासन ने जिला प्रशासन को स्कूल खोलने को लेकर जारी की गाइडलाइन,1.1697970333044528e-46,3.2366134001073036e-44,3.488404272157286e-52
रणवीर इस फिल्म में नेगेटिव किरदार निभा रहे हैं। रणवीर ने इस रोल के लिए अपनी दाढ़ी भी बढ़ाई जो कि . . .,1.504681558700661e-82,1.991174797756333e-77,3.5345137673667494e-98
विजयी प्रतिभागियों को गूंज ने किया सम्मानित,1.1961202325693014e-29,3.304433922537134e-28,1.5666382195028317e-31
जुलाई के पहले 10 दिनों के दौरान लंबे ब्रेक के कारण इन शुरुआती समय में दिक्कतें आई थीं . अगले दो सप्ताह के दौरान रिकवरी के बावजूद महीना 7 प्रतिशत की कमी के साथ बीत गया . सीजन की पहली छमाही 452 मिमी के औसत के मुकाबले 449 मिमी बरसात दर्ज करके समाप्त हुई है .,1.5230383548692003e-196,1.5291126321433863e-185,4.1790340257586586e-224
